,item_name,item_id,item_category_id,item_name_en
74,12 ДРУЗЕЙ ОУШЕНА WB (BD),74,37,12 FRIENDS OF OCHEN WB (BD)
75,12 ДРУЗЕЙ ОУШЕНА WB (регион),75,40,12 FRIENDS OF OCHEN WB (region)
76,12 ЛЕТ РАБСТВА (BD),76,37,12 YEARS SLAVERY (BD)
77,12 ЛЕТ РАБСТВА (регион),77,40,12 YEARS SLAVERY (region)
78,12 МЕСЯЦЕВ,78,40,12 MONTHS
79,12 МЕСЯЦЕВ. НОВАЯ СКАЗКА,79,40,12 MONTHS. NEW FAIRY TALE
80,12 РАУНДОВ (BD),80,37,12 ROUNDS (BD)
81,12 РОЖДЕСТВЕНСКИХ ЖЕЛАНИЙ,81,40,12 CHRISTMAS WISHES
82,12/ДВЕНАДЦАТЬ (BD),82,37,12 / TWELVE (BD)
83,12/ДВЕНАДЦАТЬ (СР) (Регион),83,40,12 / TWELVE (SR) (Region)
84,127 ЧАСОВ,84,40,127 HOURS
85,127 ЧАСОВ (BD+DVD),85,37,127 HOURS (BD + DVD)
86,127 ЧАСОВ (регион),86,40,127 HOURS (region)
87,13 ДРУЗЕЙ ОУШЕНА WB (BD),87,37,13 FRIENDS OF OACHEN WB (BD)
88,13 ДРУЗЕЙ ОУШЕНА WB (регион),88,40,13 FRIENDS OF OCHEN WB (region)
89,13-Й ВОИН wd,89,40,13th WARRIOR wd
90,13-Й РАЙОН: Кирпичные особняки,90,40,DISTRICT 13: Brick Mansions
91,13-Й РАЙОН: Кирпичные особняки (BD),91,37,DISTRICT 13: Brick Mansions (BD)
92,13-Й РАЙОН: УЛЬТИМАТУМ (BD),92,37,DISTRICT 13: ULTIMATUM (BD)
93,15 знаменитых сказок  Детям от 0 до 3 лет (mp3-CD) (Jewel),93,43,15 famous fairy tales Children from 0 to 3 years old (mp3-CD) (Jewel)
94,16 ЖЕЛАНИЙ,94,40,16 WISHES
95,1812. ЭНЦИКЛОПЕДИЯ ВЕЛИКОЙ ВОЙНЫ,95,40,1812. ENCYCLOPEDIA OF THE GREAT WAR
96,1812. ЭНЦИКЛОПЕДИЯ ВОЙНЫ (регион),96,40,1812. ENCYCLOPEDIA OF WAR (region)
97,1812: 4 СЕРИИ (регион),97,40,1812: 4 SERIES (region)
98,1812: УЛАНСКАЯ БАЛЛАДА,98,40,1812: ULAN BALLAD
99,1812: УЛАНСКАЯ БАЛЛАДА (BD),99,37,1812: ULAN BALLAD (BD)
100,1812: УЛАНСКАЯ БАЛЛАДА (регион),100,40,1812: ULAN BALLAD (region)
101,"1C:Школа. Физика, 9кл. [PC, Цифровая версия]",101,78,"1C: School. Physics, 9kl. [PC, Digital Edition]"
102,"1С-Битрикс: Управление сайтом - Малый бизнес [PC, Цифровая версия]",102,76,"1C-Bitrix: Site Management - Small Business [PC, Digital version]"
103,"1С-Битрикс: Управление сайтом - Стандарт [PC, Цифровая версия]",103,76,"1C-Bitrix: Site Management - Standard [PC, Digital version]"
104,"1С-Битрикс: Управление сайтом - Старт (Bitrix) [PC, Цифровая версия]",104,76,"1C-Bitrix: Site Management - Start (Bitrix) [PC, Digital version]"
105,"1С:Snowball ORIGINALS ""Europa Universalis III. In Nomine""",105,30,"1C: Snowball ORIGINALS ""Europa Universalis III. In Nomine"""
106,"1С:Snowball ИГРУШКИ ""День Победы II. Новая война""",106,30,"1C: Snowball TOYS ""Victory Day II. New War"""
107,1С:Аудио. В гармонии с природой. Музыка для спокойного вождения автомобиля [Цифровая версия],107,44,1C: Audio. In harmony with nature. Music for quiet driving [Digital version]
108,1С:Аудио. В гармонии с природой. Отдых в лесу [Цифровая версия],108,44,1C: Audio. In harmony with nature. Rest in the forest [Digital version]
109,1С:Аудио. Музыка восстановления равновесия души и тела (Jewel),109,57,1C: Audio. Music to restore the balance of soul and body (Jewel)
110,1С:Аудио. Музыка восстановления равновесия души и тела [Цифровая версия],110,44,1C: Audio. Music to restore the balance of mind and body [Digital version]
111,1С:Аудио. Музыка для оздоровления организма (Jewel),111,57,1C: Audio. Music for health improvement (Jewel)
112,1С:Аудио. Музыка для релаксации и массажа [Цифровая версия],112,44,1C: Audio. Music for relaxation and massage [Digital version]
113,1С:Аудио. Музыка для снятия стресса (Jewel),113,57,1C: Audio. Stress Relief Music (Jewel)
114,1С:Аудио. Музыка для снятия стресса [Цифровая версия],114,44,1C: Audio. Stress Relief Music [Digital Version]
115,1С:Аудио. Музыка природы (Jewel),115,57,1C: Audio. Music of Nature (Jewel)
116,1С:Аудио. Музыка страсти: повышение тонуса (Jewel),116,57,1C: Audio. Passion Music: Tone Up (Jewel)
117,1С:Аудио. Музыка страсти: повышение тонуса [Цифровая версия],117,44,1C: Audio. Music of Passion: Toning Up [Digital Version]
118,"1С:Аудиокниги ""Аленушкины сказки"" [Цифровая версия]",118,44,"1C: Audiobooks ""Alenushkin's Tales"" [Digital version]"
119,"1С:Аудиокниги ""Баба-Яга – Золотая нога"" [Цифровая версия]",119,44,"1C: Audiobooks ""Baba Yaga - Golden Leg"" [Digital version]"
120,"1С:Аудиокниги ""Дама с собачкой"" [Цифровая версия]",120,44,"1C: Audiobooks ""Lady with a Dog"" [Digital version]"
121,"1С:Аудиокниги ""Кадетский монастырь"" [Цифровая версия]",121,44,"1C: Audiobooks ""Cadet Monastery"" [Digital version]"
122,"1С:Аудиокниги ""Любовь"" [Цифровая версия]",122,44,"1C: Audiobooks ""Love"" [Digital version]"
123,"1С:Аудиокниги ""Севастопольские рассказы"" [Цифровая версия]",123,44,"1C: Audiobooks ""Sevastopol Stories"" [Digital version]"
124,"1С:Аудиокниги ""Серая Шейка"" [Цифровая версия]",124,44,"1C: Audiobooks ""Gray Neck"" [Digital version]"
125,"1С:Аудиокниги ""Сказки народов мира"" [Цифровая версия]",125,44,"1C: Audiobooks ""Tales of the peoples of the world"" [Digital version]"
126,"1С:Аудиокниги ""Сказки. Выпуск 1"" [Цифровая версия]",126,44,"1C: Audiobooks ""Fairy Tales. Issue 1"" [Digital version]"
127,"1С:Аудиокниги ""Сказки. Выпуск 2"" [Цифровая версия]",127,44,"1C: Audiobooks ""Fairy Tales. Issue 2"" [Digital version]"
128,"1С:Аудиокниги ""Сказки. Выпуск 3"" [Цифровая версия]",128,44,"1C: Audiobooks ""Fairy Tales. Issue 3"" [Digital version]"
129,"1С:Аудиокниги ""Сказки. Выпуск 4"" [Цифровая версия]",129,44,"1C: Audiobooks ""Fairy Tales. Issue 4"" [Digital version]"
130,"1С:Аудиокниги ""Сказки. Выпуск 5"" [Цифровая версия]",130,44,"1C: Audiobooks ""Fairy Tales. Issue 5"" [Digital version]"
131,"1С:Аудиокниги ""Сказки. Выпуск 6"" [Цифровая версия]",131,44,"1C: Audiobooks ""Fairy Tales. Issue 6"" [Digital version]"
132,"1С:Аудиокниги. ""Мистические рассказы русских писателей"", А. С. Пушкин, Ф. М. Достоевский [Цифровая в",132,44,"1C: Audiobooks. ""Mystical stories of Russian writers"", A. Pushkin, F. M. Dostoevsky [Digital in"
133,1С:Аудиокниги. 25 знаменитых сказок,133,45,1C: Audiobooks. 25 famous fairy tales
134,1С:Аудиокниги. Around the World in 80 days (by Jules Verne) (Jewel),134,45,1C: Audiobooks. Around the World in 80 days (by Jules Verne) (Jewel)
135,1С:Аудиокниги. Classical Mosaic. English Stories. Part 1,135,45,1C: Audiobooks. Classical Mosaic. English Stories. Part 1
136,1С:Аудиокниги. Happy New English! (Best funny stories) (Digipack),136,45,1C: Audiobooks. Happy New English! (Best funny stories) (Digipack)
137,"1С:Аудиокниги. The Golden Age of Detective Fiction. Part 1 [PC, Цифровая версия]",137,44,"1C: Audiobooks. The Golden Age of Detective Fiction. Part 1 [PC, Digital Edition]"
138,1С:Аудиокниги. А. Некрасов. Приключения капитана Врунгеля (Digipack),138,45,1C: Audiobooks. A. Nekrasov. The Adventures of Captain Vrungel (Digipack)
139,1С:Аудиокниги. А.М. Волков. Волшебник изумрудного города (Digipack),139,45,1C: Audiobooks. A.M. Volkov. Wizard of the Emerald City (Digipack)
140,1С:Аудиокниги. Аладдин и другие восточные сказки (Jewel),140,45,1C: Audiobooks. Aladdin and Other Oriental Tales (Jewel)
141,"1С:Аудиокниги. Аладдин и другие восточные сказки [PC, Цифровая версия]",141,44,"1C: Audiobooks. Aladdin and Other Oriental Tales [PC, Digital]"
142,1С:Аудиокниги. Алексей Толстой. Приключения Буратино (Digipack),142,45,1C: Audiobooks. Alexey Tolstoy. The Adventures of Pinocchio (Digipack)
143,1С:Аудиокниги. Аленький цветочек и другие сказки (Jewel),143,45,1C: Audiobooks. The Scarlet Flower and Other Tales (Jewel)
144,1С:Аудиокниги. Аленький цветочек и другие сказки [Цифровая версия],144,44,1C: Audiobooks. The Scarlet Flower and Other Tales [Digital version]
145,"1С:Аудиокниги. Али-Баба и сорок разбойников [PC, Цифровая версия]",145,44,"1C: Audiobooks. Ali Baba and the Forty Thieves [PC, Digital]"
146,"1С:Аудиокниги. Английские неправильные глаголы. Тренажер   [PC, Цифровая версия]",146,44,"1C: Audiobooks. English irregular verbs. Simulator [PC, Digital]"
147,"1С:Аудиокниги. Английские пословицы, поговорки и устойчивые выражения. Самоучитель  [PC, Цифровая версия]",147,44,"1C: Audiobooks. English proverbs, sayings and fixed expressions. Tutorial [PC, Digital]"
148,"1С:Аудиокниги. Английские сказки, часть 1 [PC, Цифровая версия]",148,44,"1C: Audiobooks. English Tales, Part 1 [PC, Digital]"
149,1С:Аудиокниги. Английский для детей. Слушай и изучай (Jewel),149,45,1C: Audiobooks. English for children. Listen and Learn (Jewel)
150,1С:Аудиокниги. Английский для детей. Слушай и изучай [Цифровая версия],150,44,1C: Audiobooks. English for children. Listen and Learn [Digital Version]
151,1С:Аудиокниги. Английский для малышей. Наглядное пособие (Jewel),151,45,1C: Audiobooks. English for kids. Visual Aid (Jewel)
152,1С:Аудиокниги. Английский для путешественников (Jewel),152,45,1C: Audiobooks. English for Travelers (Jewel)
153,1С:Аудиокниги. Английский за 30 минут (Digipack),153,45,1C: Audiobooks. English in 30 minutes (Digipack)
154,1С:Аудиокниги. Английский за рулем. Выпуск 1 (Beginner) (Digipack),154,45,1C: Audiobooks. English at the wheel. Issue 1 (Beginner) (Digipack)
155,1С:Аудиокниги. Английский за рулем. Выпуск 2 (Elementary) (Digipack),155,45,1C: Audiobooks. English at the wheel. Issue 2 (Elementary) (Digipack)
156,1С:Аудиокниги. Английский за рулем. Выпуск 3 (Pre-Intermediate) (Digipack),156,45,1C: Audiobooks. English at the wheel. Issue 3 (Pre-Intermediate) (Digipack)
157,"1С:Аудиокниги. Английский словарный минимум. Тренажер  [PC, Цифровая версия]",157,44,"1C: Audiobooks. English vocabulary minimum. Simulator [PC, Digital]"
158,"1С:Аудиокниги. Английский язык за 12 дней: Самоучитель для повседневного общения [PC, Цифровая версия]",158,44,"1C: Audiobooks. English in 12 Days: A Self-Study Guide for Everyday Communication [PC, Digital]"
159,"1С:Аудиокниги. Английский язык за 12 дней: Самоучитель. Деловой английский  [PC, Цифровая версия]",159,44,"1C: Audiobooks. English in 12 Days: A Self-Study Guide. Business English [PC, Digital]"
160,"1С:Аудиокниги. Английский язык за 12 дней: Самоучитель. Отдых за рубежом [PC, Цифровая версия]",160,44,"1C: Audiobooks. English in 12 Days: A Self-Study Guide. Holidays Abroad [PC, Digital]"
161,"1С:Аудиокниги. Английский язык. 1700 распространенных фраз и выражений. Тренажер   [PC, Цифровая версия]",161,44,"1C: Audiobooks. English language. 1,700 common phrases and expressions. Simulator [PC, Digital]"
162,1С:Аудиокниги. Андерсен Г.Х. Дюймовочка,162,45,1C: Audiobooks. Andersen G.H. Thumbelina
163,"1С:Аудиокниги. Андрей Платонов. Челюсть дракона. Рассказы о войне12    [PC, Цифровая версия]",163,44,"1C: Audiobooks. Andrey Platonov. Dragon's jaw. Tales of War12 [PC, Digital]"
164,1С:Аудиокниги. Аркадий Аверченко. Классика русского юмора. [Цифровая версия],164,44,1C: Audiobooks. Arkady Averchenko. Classics of Russian humor. [Digital version]
165,1С:Аудиокниги. Артур Конан Дойл. Долина страха (Jewel),165,45,1C: Audiobooks. Arthur Conan Doyle. Valley of Fear (Jewel)
166,1С:Аудиокниги. Артур Конан Дойл. Истории о Шерлоке Холмсе (Jewel),166,45,1C: Audiobooks. Arthur Conan Doyle. Stories of Sherlock Holmes (Jewel)
167,"1С:Аудиокниги. Аткинсон У. Сила мысли или магнетизм личности   [PC, Цифровая версия]",167,44,"1C: Audiobooks. Atkinson W. Power of thought or personality magnetism [PC, Digital version]"
168,"1С:Аудиокниги. Аудиокурсы по географии. 6 класс  [PC, Цифровая версия]",168,44,"1C: Audiobooks. Audio courses on geography. Grade 6 [PC, Digital]"
169,"1С:Аудиокниги. Аудиокурсы по географии. 7 класс   [PC, Цифровая версия]",169,44,"1C: Audiobooks. Audio courses on geography. Grade 7 [PC, Digital]"
170,1С:Аудиокниги. Аудиокурсы. Учимся правильно и грамотно говорить по-русски (Jewel),170,45,1C: Audiobooks. Audio courses. Learning to speak Russian correctly and competently (Jewel)
171,1С:Аудиокниги. Аудиоэкскурсия. Московский Кремль,171,45,1C: Audiobooks. Audio tour. the Moscow Kremlin
172,1С:Аудиокниги. Аудиоэкскурсия. Невский проспект,172,45,1C: Audiobooks. Audio tour. Nevsky Prospect
173,1С:Аудиокниги. Аудиоэнциклопедия для самых маленьких. Окружающий мир (Digipack),173,45,1C: Audiobooks. Audio encyclopedia for the little ones. The World Around (Digipack)
174,"1С:Аудиокниги. Библейские истории Нового Завета. Жизнь Иисуса Христа     [PC, Цифровая версия]",174,44,1C: Audiobooks. Bible stories of the New Testament. The Life of Jesus Christ [PC Digital]
175,1С:Аудиокниги. Большая поэзия для маленьких детей (сборник) (Jewel),175,45,1C: Audiobooks. Great poetry for young children (collection) (Jewel)
176,1С:Аудиокниги. Булгаков М. Собачье сердце,176,45,1C: Audiobooks. Bulgakov M. Heart of a Dog
177,1С:Аудиокниги. Булгаков М.А. Мастер и Маргарита,177,45,1C: Audiobooks. Bulgakov M.A. Master and Margarita
178,1С:Аудиокниги. Булгаков М.А. Ханский огонь,178,45,1C: Audiobooks. Bulgakov M.A. Khan fire
179,1С:Аудиокниги. Бунин И. А. Грехи любви,179,45,1C: Audiobooks. Bunin I. A. Sins of Love
180,"1С:Аудиокниги. Былины русского народа. Сборник  [ PC, Цифровая версия]",180,44,"1C: Audiobooks. Epics of the Russian people. Collection [PC, Digital version]"
181,"1С:Аудиокниги. Вагин И. Гнев, обида, месть и предательство    [PC, Цифровая версия]",181,44,"1C: Audiobooks. Vagin I. Anger, Resentment, Revenge and Betrayal [PC, Digital]"
182,"1С:Аудиокниги. Вагин И. Как развить уверенность в себе и поднять самооценку     [PC, Цифровая версия]",182,44,"1C: Audiobooks. Vagin I. How to develop self-confidence and self-esteem [PC, Digital version]"
183,"1С:Аудиокниги. Вагин И. О. Драйв-менеджмент    [ PC, Цифровая версия]",183,44,"1C: Audiobooks. Vagin IO Drive-management [PC, Digital version]"
184,"1С:Аудиокниги. Вагин И. О. Избавление от страха и тревоги  [PC, Цифровая версия]",184,44,"1C: Audiobooks. Vagin I. O. Getting rid of fear and anxiety [PC, Digital version]"
185,"1С:Аудиокниги. Вагин И. О. Как купить, но не купиться    [PC, Цифровая версия]",185,44,"1C: Audiobooks. Vagin IO How to buy but not buy [PC, Digital version]"
186,"1С:Аудиокниги. Вагин И. О. Как перестать нервничать   [PC, Цифровая версия]",186,44,"1C: Audiobooks. Vagin IO How to stop being nervous [PC, Digital version]"
187,"1С:Аудиокниги. Вагин И. О. Как поставить собеседника на место. Методы словестной атаки [PC, Цифровая версия]",187,44,"1C: Audiobooks. Vagin I.O. How to put the interlocutor in place. Verbal Attack Methods [PC, Digital]"
188,"1С:Аудиокниги. Вагин И. О. Как создать успешный имидж    [PC, Цифровая версия]",188,44,"1C: Audiobooks. Vagin I. O. How to create a successful image [PC, Digital version]"
189,"1С:Аудиокниги. Вагин И. О. Как сохранить деньги     [PC, Цифровая версия]",189,44,"1C: Audiobooks. Vagin IO How to save money [PC, Digital version]"
190,"1С:Аудиокниги. Вагин И. О. Как управлять другими     [PC, Цифровая версия]",190,44,"1C: Audiobooks. Vagin I. O. How to manage others [PC, Digital version]"
191,"1С:Аудиокниги. Вагин И. О. Психологическое карате и психологическое айкидо  [ PC, Цифровая версия]",191,44,"1C: Audiobooks. Vagin I.O. Psychological karate and psychological aikido [PC, Digital version]"
192,"1С:Аудиокниги. Вагин И. О. Психотехники развития уверенности в себе, удачливости, эксклюзивности   [PC, Цифровая версия]",192,44,"1C: Audiobooks. Vagin I. O. Psychotechnics for the development of self-confidence, luck, exclusivity [PC, Digital version]"
193,"1С:Аудиокниги. Вагин И. О. Управление персоналом     [PC, Цифровая версия]",193,44,"1C: Audiobooks. Vagin I.O. Human Resource Management [PC, Digital version]"
194,"1С:Аудиокниги. Вагин И. О., Глущай А. Научи себя смеяться    [PC, Цифровая версия]",194,44,"1C: Audiobooks. Vagin I.O., Glushchay A. Teach Yourself to Laugh [PC, Digital version]"
195,"1С:Аудиокниги. Вагин И.О. Управление радостью  [ PC, Цифровая версия]",195,44,"1C: Audiobooks. Vagin I.O. Joy Control [PC, Digital]"
196,"1С:Аудиокниги. Василь Быков. Пойти и не вернуться  [PC, Цифровая версия]",196,44,"1C: Audiobooks. Vasil Bykov. Go and Don't Come Back [PC, Digital]"
197,1С:Аудиокниги. Великие бизнесмены или как делались деньги в ХХ веке (Digipack),197,45,1C: Audiobooks. Great businessmen or how money was made in the 20th century (Digipack)
198,1С:Аудиокниги. Верн Ж. 20 000 лье под водой,198,45,"1C: Audiobooks. Verne J. 20,000 Leagues Under the Sea"
199,1С:Аудиокниги. Верн Ж. Дети капитана Гранта,199,45,1C: Audiobooks. Verne J. Children of Captain Grant
200,1С:Аудиокниги. Веселые уроки для самых маленьких. Азбука и счет (Jewel),200,45,1C: Audiobooks. Fun lessons for the little ones. ABC and Counting (Jewel)
201,"1С:Аудиокниги. Владимирские А. О. и П. А. Как стать успешной, или Секрет карьеристки    [PC, Цифровая версия]",201,44,"1C: Audiobooks. Vladimirsky A.O. and P.A. How to become successful, or the Secret of a careerist [PC, Digital version]"
202,1С:Аудиокниги. Внеклассное чтение (для средней школы) (Jewel),202,45,1C: Audiobooks. Extracurricular Reading (High School) (Jewel)
203,"1С:Аудиокниги. Всеобщая история, обработанная ""Сатириконом""   [ PC, Цифровая версия]",203,44,"1C: Audiobooks. General history processed by ""Satyricon"" [PC, Digital version]"
204,"1С:Аудиокниги. Г.Р. Хаггард. Клеопатра [PC, Цифровая версия]",204,44,"1C: Audiobooks. G.R. Haggard. Cleopatra [PC, Digital]"
205,1С:Аудиокниги. Г.Х. Андерсен. Русалочка. Музыкальный спектакль (Digipack),205,45,1C: Audiobooks. G.Kh. Andersen. Mermaid. Musical performance (Digipack)
206,"1С:Аудиокниги. Гарри Гаррисон. Крыса из нержавеющей стали [ PC, Цифровая версия]",206,44,"1C: Audiobooks. Harry Garrison. Stainless Steel Rat [PC, Digital]"
207,1С:Аудиокниги. Гаррос-Евдокимов. Серая слизь,207,45,1C: Audiobooks. Garros-Evdokimov. Gray slime
208,"1С:Аудиокниги. Генри Хаггард. Дочь Монтесумы [PC, Цифровая версия]",208,44,"1C: Audiobooks. Henry Haggard. Daughter of Montezuma [PC, Digital]"
